Date;Market;Size;Value;Momentum;Investment;Profitability;Low volatility
01.02.1980;-2,37%;-1,01%;-1,79%;4,58%;-0,66%;0,24%;-2,12%
01.03.1980;-12,29%;-3,92%;2,01%;-6,53%;2,74%;-0,59%;8,42%
01.04.1980;4,10%;1,05%;0,32%;1,66%;0,25%;-2,79%;0,46%
01.05.1980;5,81%;1,24%;0,46%;-1,06%;-0,68%;0,96%;0,72%
01.06.1980;2,93%;0,57%;-0,68%;2,08%;-0,81%;-0,87%;0,79%
01.07.1980;6,83%;2,14%;-3,25%;2,15%;-3,79%;5,95%;-1,39%
01.08.1980;1,66%;3,29%;-3,04%;2,74%;-1,50%;3,13%;-4,69%
01.09.1980;2,58%;-0,05%;-3,98%;3,48%;-1,62%;1,26%;0,10%
01.10.1980;0,93%;1,37%;-2,73%;5,28%;-1,85%;1,36%;-2,68%
01.11.1980;9,20%;-2,98%;-9,32%;8,44%;-3,46%;1,26%;-6,48%
01.12.1980;-3,58%;-0,72%;3,30%;-3,01%;1,40%;-1,62%;5,12%
01.01.1981;-4,91%;3,35%;5,75%;-5,42%;4,03%;-0,56%;4,25%
01.02.1981;0,83%;-0,98%;2,97%;-1,06%;1,57%;-0,61%;2,66%
01.03.1981;4,58%;1,89%;1,72%;0,32%;-0,70%;2,25%;1,26%
01.04.1981;-1,77%;3,01%;2,43%;0,90%;0,13%;2,71%;2,91%
01.05.1981;0,02%;1,46%;-0,98%;2,52%;-1,17%;1,54%;-1,38%
01.06.1981;-2,30%;0,07%;6,93%;-3,10%;4,41%;-2,46%;4,79%
01.07.1981;-1,70%;-1,74%;0,00%;-0,71%;0,09%;-1,55%;-0,32%
01.08.1981;-7,22%;-1,26%;4,25%;-2,58%;2,09%;-2,96%;5,95%
01.09.1981;-6,98%;-1,71%;4,83%;1,40%;1,94%;-0,32%;4,76%
01.10.1981;5,95%;0,50%;-3,64%;3,40%;-1,63%;1,42%;-3,10%
01.11.1981;3,23%;-1,39%;3,37%;1,29%;1,27%;-2,15%;5,27%
01.12.1981;-3,62%;0,83%;1,89%;1,25%;2,10%;1,26%;2,92%
01.01.1982;-3,45%;0,25%;2,86%;0,09%;2,45%;0,39%;1,07%
01.02.1982;-5,43%;0,24%;5,11%;2,54%;3,39%;-1,34%;4,40%
01.03.1982;-1,83%;-0,32%;2,87%;2,09%;2,30%;0,65%;2,83%
01.04.1982;3,87%;0,37%;-1,47%;0,63%;-0,93%;2,13%;0,90%
01.05.1982;-4,57%;0,98%;2,00%;1,74%;0,39%;0,01%;2,99%
01.06.1982;-2,80%;-0,81%;3,04%;4,12%;1,93%;1,05%;2,45%
01.07.1982;-3,51%;0,78%;2,18%;3,11%;2,60%;1,56%;3,25%
01.08.1982;11,20%;-3,73%;-0,48%;-2,94%;0,33%;-0,85%;-0,55%
01.09.1982;1,76%;1,09%;2,68%;4,51%;2,48%;0,98%;5,74%
01.10.1982;11,67%;1,10%;-2,80%;1,05%;-1,17%;1,48%;-2,83%
01.11.1982;4,63%;3,03%;1,62%;4,02%;0,54%;4,08%;1,46%
01.12.1982;0,03%;0,77%;-0,43%;1,09%;0,75%;0,73%;1,23%
01.01.1983;3,06%;2,87%;-1,70%;0,41%;-0,10%;0,15%;-3,48%
01.02.1983;3,27%;1,14%;2,24%;3,33%;2,37%;1,49%;2,64%
01.03.1983;3,37%;0,68%;3,47%;2,63%;2,28%;1,07%;1,22%
01.04.1983;6,10%;0,54%;1,01%;1,56%;0,63%;-0,72%;-0,97%
01.05.1983;1,12%;4,89%;-2,42%;0,24%;-0,56%;0,38%;-3,68%
01.06.1983;2,83%;0,72%;-2,29%;0,70%;-0,30%;2,18%;-0,70%
01.07.1983;-3,92%;0,83%;4,29%;-2,90%;1,84%;-2,21%;4,55%
01.08.1983;-0,51%;-2,82%;3,09%;-3,37%;0,81%;-1,78%;2,18%
01.09.1983;1,19%;-0,23%;2,28%;0,05%;1,14%;-0,18%;4,10%
01.10.1983;-3,44%;-2,65%;4,90%;-3,90%;3,00%;-2,42%;6,55%
01.11.1983;2,52%;1,31%;-0,04%;1,09%;0,62%;1,22%;-1,68%
01.12.1983;-1,94%;-0,27%;2,81%;0,00%;1,43%;-0,68%;3,53%
01.01.1984;-2,21%;0,17%;5,22%;-2,57%;2,93%;-3,65%;1,34%
01.02.1984;-5,00%;-1,20%;2,76%;-0,37%;0,87%;-1,65%;1,75%
01.03.1984;1,04%;-0,60%;1,80%;1,55%;1,46%;-0,44%;2,19%
01.04.1984;-0,62%;-1,09%;1,24%;1,43%;0,83%;0,58%;2,74%
01.05.1984;-6,14%;0,38%;2,14%;1,20%;0,68%;0,83%;3,03%
01.06.1984;2,11%;0,07%;-1,80%;0,04%;-0,71%;2,46%;1,09%
01.07.1984;-3,21%;-1,41%;3,83%;4,16%;2,06%;-0,53%;5,84%
01.08.1984;10,67%;-0,29%;-3,64%;-3,53%;-1,63%;1,28%;-3,46%
01.09.1984;-1,25%;0,20%;4,92%;2,86%;2,77%;-2,60%;4,62%
01.10.1984;-0,64%;-1,45%;2,71%;3,03%;0,74%;-0,71%;3,53%
01.11.1984;-1,48%;-1,45%;4,18%;2,34%;2,74%;-1,53%;5,33%
01.12.1984;1,86%;-0,64%;-0,19%;0,69%;-1,41%;0,83%;2,08%
01.01.1985;8,12%;3,53%;-5,84%;-6,33%;-3,57%;2,65%;-5,80%
01.02.1985;1,43%;0,84%;-0,32%;1,27%;0,31%;0,47%;-0,08%
01.03.1985;-0,39%;-1,52%;3,41%;1,92%;2,16%;-2,11%;3,08%
01.04.1985;-0,94%;-0,60%;2,18%;2,93%;1,51%;-1,76%;3,48%
01.05.1985;5,40%;-2,40%;0,49%;2,99%;0,01%;0,46%;2,67%
01.06.1985;1,60%;-0,73%;1,06%;3,00%;0,31%;-0,26%;2,37%
01.07.1985;-0,80%;2,18%;-0,55%;-1,49%;0,42%;0,66%;-0,15%
01.08.1985;-0,89%;-0,17%;0,96%;1,19%;1,75%;-1,04%;1,56%
01.09.1985;-4,68%;-1,20%;2,95%;0,98%;2,45%;-0,34%;3,39%
01.10.1985;4,22%;-1,42%;1,29%;4,13%;0,36%;-0,10%;2,29%
01.11.1985;6,44%;-0,28%;-1,04%;1,13%;-0,25%;1,74%;-0,31%
01.12.1985;3,66%;-0,38%;0,05%;0,81%;0,53%;1,04%;2,57%
01.01.1986;1,19%;0,51%;-0,13%;2,58%;0,04%;-0,50%;0,08%
01.02.1986;7,41%;-1,05%;0,43%;1,38%;-0,55%;0,64%;2,94%
01.03.1986;4,83%;-0,72%;0,93%;1,91%;1,80%;0,69%;2,44%
01.04.1986;-1,39%;1,50%;-1,59%;1,15%;-0,33%;1,73%;0,92%
01.05.1986;4,97%;-1,39%;0,07%;1,91%;1,09%;1,10%;0,63%
01.06.1986;1,18%;-1,08%;0,90%;2,79%;-0,54%;0,43%;1,22%
01.07.1986;-6,20%;-1,85%;2,21%;0,27%;1,70%;-2,11%;3,82%
01.08.1986;6,15%;-2,82%;1,52%;-1,56%;0,99%;-2,25%;2,07%
01.09.1986;-8,83%;1,79%;3,25%;-2,58%;2,37%;-0,67%;2,16%
01.10.1986;5,15%;-1,69%;-0,59%;2,11%;0,14%;1,85%;0,81%
01.11.1986;0,91%;-1,18%;1,34%;-0,11%;0,88%;1,41%;2,52%
01.12.1986;-3,28%;-0,29%;2,10%;-0,02%;1,50%;0,17%;2,37%
01.01.1987;12,30%;-1,33%;-2,11%;1,23%;0,56%;0,72%;0,91%
01.02.1987;4,56%;2,10%;-2,53%;-1,40%;-1,73%;1,86%;-2,92%
01.03.1987;1,03%;0,59%;1,02%;1,14%;1,58%;-1,35%;0,61%
01.04.1987;-2,89%;-0,05%;0,78%;1,78%;1,39%;-0,53%;-0,75%
01.05.1987;0,06%;-0,07%;1,07%;-0,24%;1,49%;-0,06%;-0,26%
01.06.1987;4,05%;-1,31%;1,80%;0,11%;1,10%;0,07%;2,23%
01.07.1987;3,62%;-0,66%;1,81%;1,92%;1,83%;0,80%;0,84%
01.08.1987;3,32%;-1,20%;0,17%;0,12%;-0,58%;1,33%;2,58%
01.09.1987;-2,13%;0,26%;1,65%;1,11%;1,17%;0,35%;0,88%
01.10.1987;-23,07%;-4,77%;2,81%;-2,96%;2,85%;-3,29%;5,80%
01.11.1987;-7,01%;1,32%;2,06%;1,78%;1,95%;-1,73%;6,14%
01.12.1987;7,18%;-1,49%;-1,37%;4,11%;-1,77%;4,53%;3,38%
01.01.1988;4,42%;1,02%;2,83%;-2,91%;1,29%;-1,78%;-2,65%
01.02.1988;4,89%;1,93%;-0,79%;-1,69%;-0,95%;2,72%;0,05%
01.03.1988;-1,90%;4,22%;1,05%;0,34%;0,64%;1,02%;-0,23%
01.04.1988;0,03%;0,77%;1,07%;1,26%;0,54%;-0,02%;1,04%
01.05.1988;-0,18%;-1,73%;1,87%;1,41%;1,17%;-0,92%;2,48%
01.06.1988;4,63%;1,00%;0,29%;-0,01%;-1,23%;1,65%;1,96%
01.07.1988;-1,56%;0,07%;1,66%;0,29%;1,51%;-1,07%;0,14%
01.08.1988;-2,78%;0,12%;1,49%;0,44%;1,30%;-0,53%;1,98%
01.09.1988;3,40%;-1,43%;-0,35%;1,18%;0,24%;0,79%;2,07%
01.10.1988;1,05%;-1,93%;1,50%;0,86%;-0,12%;0,42%;2,73%
01.11.1988;-2,47%;-1,02%;1,88%;0,49%;0,47%;-0,54%;1,73%
01.12.1988;1,62%;0,73%;-0,65%;0,97%;0,20%;0,64%;0,52%
01.01.1989;5,65%;-0,85%;0,97%;0,87%;0,47%;-0,14%;0,28%
01.02.1989;-1,93%;1,39%;1,25%;0,19%;0,65%;-0,24%;0,17%
01.03.1989;2,07%;-0,48%;1,45%;2,58%;0,54%;0,58%;0,91%
01.04.1989;4,48%;-1,20%;-0,20%;2,39%;-0,42%;1,13%;3,19%
01.05.1989;3,62%;-0,74%;0,32%;1,32%;0,09%;1,54%;1,69%
01.06.1989;-1,41%;-0,47%;2,25%;0,44%;1,50%;-1,86%;1,70%
01.07.1989;7,38%;-3,23%;-1,10%;4,77%;0,09%;0,37%;3,00%
01.08.1989;1,35%;0,34%;-0,59%;0,29%;-0,90%;0,05%;0,20%
01.09.1989;-0,71%;-0,01%;-1,22%;1,70%;-0,63%;0,37%;1,02%
01.10.1989;-3,55%;-1,79%;-1,32%;0,81%;-0,29%;-0,19%;3,58%
01.11.1989;1,02%;-1,34%;-1,53%;2,24%;-0,17%;-0,86%;2,20%
01.12.1989;1,26%;-1,65%;-0,78%;1,91%;0,03%;0,24%;2,96%
01.01.1990;-7,88%;0,09%;0,80%;-1,70%;1,14%;-0,54%;0,84%
01.02.1990;0,95%;0,38%;-0,10%;2,01%;-0,72%;0,38%;0,78%
01.03.1990;1,59%;0,51%;-1,40%;1,31%;-1,06%;2,68%;0,37%
01.04.1990;-3,79%;-0,08%;-1,48%;1,23%;-0,37%;1,60%;1,03%
01.05.1990;8,45%;-2,29%;-3,50%;4,10%;-2,47%;3,15%;0,08%
01.06.1990;-1,25%;0,82%;-0,60%;1,76%;0,70%;1,65%;0,89%
01.07.1990;-2,26%;-1,47%;0,01%;2,05%;1,73%;-1,30%;2,54%
01.08.1990;-10,11%;-1,92%;1,91%;0,56%;1,74%;-3,03%;3,66%
01.09.1990;-6,33%;-2,04%;0,29%;2,12%;1,25%;-1,72%;4,61%
01.10.1990;-2,32%;-2,83%;-1,65%;4,03%;1,10%;0,59%;2,94%
01.11.1990;6,99%;-1,28%;-2,91%;-0,50%;-2,74%;3,05%;1,78%
01.12.1990;2,90%;-1,11%;-1,36%;2,88%;-0,84%;1,25%;6,62%
01.01.1991;4,84%;2,31%;2,13%;-2,88%;0,21%;1,99%;-4,89%
01.02.1991;7,01%;2,99%;1,36%;-3,14%;-1,03%;0,10%;-4,26%
01.03.1991;2,96%;2,58%;0,37%;2,85%;-1,25%;1,23%;-2,67%
01.04.1991;-0,06%;0,89%;0,45%;-0,66%;-0,06%;0,08%;-0,23%
01.05.1991;3,77%;-0,64%;0,54%;2,48%;0,50%;0,73%;1,88%
01.06.1991;-5,11%;0,42%;0,66%;0,24%;0,70%;-0,41%;2,21%
01.07.1991;4,12%;-0,73%;-0,46%;3,55%;-0,46%;0,09%;1,06%
01.08.1991;2,56%;-0,01%;-0,65%;1,54%;-1,42%;0,57%;-0,18%
01.09.1991;-1,60%;1,34%;-2,62%;2,35%;-0,37%;0,02%;-1,20%
01.10.1991;1,48%;0,00%;-0,99%;2,25%;-0,15%;0,24%;-0,24%
01.11.1991;-4,22%;0,43%;-1,42%;-0,64%;0,82%;0,06%;1,14%
01.12.1991;10,48%;-3,49%;-3,06%;5,83%;-1,59%;1,76%;5,42%
01.01.1992;-0,24%;7,47%;7,45%;2,58%;5,49%;-0,80%;-10,55%
01.02.1992;1,33%;1,34%;5,23%;-0,81%;2,07%;-0,13%;-0,95%
01.03.1992;-2,51%;0,09%;3,11%;-1,52%;2,67%;-1,80%;0,82%
01.04.1992;1,19%;-3,56%;3,51%;-2,49%;1,42%;-2,80%;5,34%
01.05.1992;0,48%;-0,37%;2,35%;-0,54%;-0,74%;-1,57%;0,98%
01.06.1992;-2,25%;-1,76%;2,36%;-0,08%;1,12%;-2,46%;3,29%
01.07.1992;3,84%;-0,83%;1,33%;1,58%;0,31%;-1,56%;1,64%
01.08.1992;-2,21%;-0,23%;-0,06%;-1,43%;-0,52%;0,71%;2,38%
01.09.1992;1,53%;-0,17%;0,39%;1,42%;-0,15%;-0,41%;1,24%
01.10.1992;1,40%;0,64%;-0,79%;1,98%;-0,52%;1,99%;0,39%
01.11.1992;4,11%;2,62%;-1,09%;1,01%;-1,20%;2,57%;-1,51%
01.12.1992;1,82%;1,12%;2,51%;2,78%;2,13%;-0,88%;0,75%
01.01.1993;0,95%;2,41%;4,21%;2,86%;1,31%;-1,60%;-2,48%
01.02.1993;0,46%;-2,10%;5,45%;1,94%;4,37%;-3,18%;2,80%
01.03.1993;2,29%;0,06%;1,72%;2,86%;1,23%;-1,40%;1,61%
01.04.1993;-2,86%;-0,19%;1,89%;1,13%;1,83%;-2,30%;0,67%
01.05.1993;2,70%;0,81%;-1,61%;0,06%;-1,16%;2,11%;-2,76%
01.06.1993;0,37%;-0,05%;1,70%;2,85%;0,45%;-1,74%;0,67%
01.07.1993;-0,38%;0,78%;2,29%;1,02%;1,66%;-1,88%;1,08%
01.08.1993;3,85%;-0,19%;0,36%;2,53%;0,07%;0,39%;0,60%
01.09.1993;0,12%;1,66%;1,03%;2,14%;-0,30%;0,48%;-1,61%
01.10.1993;0,69%;1,74%;-0,79%;-0,88%;0,62%;0,88%;-2,46%
01.11.1993;-1,92%;-0,82%;0,33%;-1,81%;-0,16%;1,57%;2,02%
01.12.1993;1,97%;-0,25%;-0,28%;1,96%;0,47%;0,65%;4,49%
01.01.1994;2,59%;0,84%;2,57%;0,31%;1,10%;-0,74%;-1,27%
01.02.1994;-2,34%;1,06%;1,65%;0,01%;0,19%;2,14%;1,08%
01.03.1994;-4,58%;-0,47%;2,01%;-1,16%;1,68%;-0,62%;2,57%
01.04.1994;0,90%;-1,46%;2,44%;1,49%;1,58%;-0,90%;3,30%
01.05.1994;0,59%;-1,21%;1,67%;-1,65%;0,75%;-0,89%;0,96%
01.06.1994;-3,13%;-0,15%;3,42%;-1,34%;1,75%;-0,82%;3,98%
01.07.1994;2,66%;-0,93%;-0,02%;0,71%;0,74%;0,26%;1,94%
01.08.1994;4,46%;-0,39%;-1,94%;1,03%;-0,64%;2,51%;0,60%
01.09.1994;-2,48%;2,20%;-0,04%;0,74%;0,84%;1,11%;-1,39%
01.10.1994;1,17%;-1,02%;-0,51%;1,84%;0,86%;3,02%;-0,07%
01.11.1994;-4,16%;-0,05%;0,47%;0,12%;0,66%;0,78%;0,50%
01.12.1994;0,82%;-1,10%;0,77%;3,55%;0,97%;0,10%;4,81%
01.01.1995;2,00%;-0,34%;1,33%;-2,44%;0,20%;-0,94%;-0,92%
01.02.1995;3,67%;-0,37%;0,13%;0,44%;0,19%;-0,30%;0,83%
01.03.1995;1,96%;-0,52%;-1,15%;1,87%;0,05%;0,54%;0,85%
01.04.1995;1,81%;0,04%;1,88%;1,41%;1,10%;0,47%;0,78%
01.05.1995;2,83%;-0,92%;1,07%;0,51%;0,99%;-1,55%;1,39%
01.06.1995;2,78%;1,39%;-2,05%;2,60%;-0,08%;1,26%;-2,46%
01.07.1995;3,87%;0,69%;-1,83%;3,34%;-1,73%;2,56%;-2,03%
01.08.1995;0,95%;1,22%;1,21%;-0,05%;1,85%;-2,80%;-0,02%
01.09.1995;2,96%;-1,11%;0,38%;2,40%;0,37%;-0,22%;1,46%
01.10.1995;-1,94%;-1,99%;1,32%;1,31%;1,00%;-1,09%;4,42%
01.11.1995;4,16%;-1,36%;-0,55%;0,56%;-0,11%;-0,04%;2,69%
01.12.1995;0,75%;0,04%;0,49%;1,83%;1,84%;-3,14%;3,58%
01.01.1996;2,09%;-1,11%;-0,30%;-0,72%;2,11%;-3,07%;0,43%
01.02.1996;1,52%;0,80%;-1,35%;0,48%;-0,69%;1,95%;-1,01%
01.03.1996;0,98%;0,92%;0,41%;-0,40%;0,21%;1,00%;-0,13%
01.04.1996;1,99%;2,50%;-3,42%;2,54%;-2,02%;4,37%;-4,88%
01.05.1996;1,95%;2,11%;-0,97%;2,11%;0,36%;2,68%;-5,88%
01.06.1996;-1,42%;-2,05%;4,17%;-1,31%;2,06%;-3,35%;6,93%
01.07.1996;-5,80%;-1,55%;4,54%;-2,87%;2,82%;-3,24%;6,49%
01.08.1996;3,44%;0,71%;-0,99%;2,87%;-1,29%;1,00%;-1,22%
01.09.1996;4,82%;-1,42%;-1,75%;2,44%;-1,31%;1,56%;0,44%
01.10.1996;0,72%;-1,86%;4,69%;0,98%;2,68%;-2,88%;6,29%
01.11.1996;6,09%;-2,09%;1,80%;-1,60%;-0,25%;0,19%;2,82%
01.12.1996;-1,79%;1,62%;2,00%;2,10%;0,36%;-1,06%;3,26%
01.01.1997;4,07%;-0,20%;-0,50%;-0,88%;-0,95%;-0,57%;-2,27%
01.02.1997;-0,17%;-1,07%;5,61%;-2,29%;2,55%;-3,62%;5,55%
01.03.1997;-4,72%;-0,29%;4,86%;1,67%;3,03%;-1,34%;4,49%
01.04.1997;2,98%;-3,49%;1,18%;2,62%;0,45%;0,16%;3,68%
01.05.1997;7,13%;1,90%;-4,81%;-3,24%;-3,21%;4,39%;-5,62%
01.06.1997;4,01%;0,34%;2,55%;3,43%;1,00%;-1,07%;2,77%
01.07.1997;7,64%;-1,48%;-0,28%;3,44%;-0,94%;1,81%;1,44%
01.08.1997;-3,21%;4,10%;0,75%;0,09%;-0,12%;1,18%;-2,94%
01.09.1997;5,35%;2,18%;0,37%;0,18%;-1,10%;-1,87%;-1,61%
