Date,Open,High,Low,Close,Adj Close,Volume
1962-02-01,6.978967,7.151052,6.781389,6.845124,1.447375,6087720
1962-03-01,6.870618,7.087317,6.759082,6.790950,1.436116,5687625
1962-04-01,6.787763,6.787763,5.736138,5.787126,1.223832,13516935
1962-05-01,5.787126,6.242830,4.525175,5.003187,1.058049,51659325
1962-06-01,4.984066,4.984066,3.824092,4.324410,0.914649,71679765
1962-07-01,4.324410,5.015934,4.314850,4.933078,1.043387,43014135
1962-08-01,4.920331,5.286807,4.722753,5.050988,1.068326,43351470
1962-09-01,5.050988,5.117909,4.442320,4.506055,0.953257,34800420
1962-10-01,4.506055,4.738687,4.104525,4.410453,0.933032,45014610
1962-11-01,4.410453,5.121096,4.359465,5.079669,1.074604,38424810
1962-12-01,5.028681,5.175271,4.862970,4.971319,1.051905,22978005
1963-01-01,4.971319,5.411090,4.898024,5.401530,1.142933,29920830
1963-02-01,5.401530,5.415870,5.086042,5.095602,1.078201,13854270
1963-03-01,5.095602,5.395156,5.063735,5.366475,1.135787,12771660
1963-04-01,5.366475,6.048438,5.321861,5.911409,1.251120,19118265
1963-05-01,5.911409,6.099426,5.831740,6.083493,1.287540,11987160
1963-06-01,6.083493,6.102613,5.506692,5.560867,1.177186,13516935
1963-07-01,5.560867,5.710644,5.420650,5.538560,1.172464,17596335
1963-08-01,5.538560,5.857234,5.481198,5.669216,1.200122,14591700
1963-09-01,5.677183,5.978330,5.677183,5.761632,1.219965,19008435
1963-10-01,5.761632,6.395793,5.717017,6.297004,1.333324,25629615
1963-11-01,6.297004,6.319312,5.876354,6.185468,1.309707,13140375
1963-12-01,6.220523,6.494583,6.035692,6.462715,1.368762,13697370
1964-01-01,6.500956,7.227533,6.469089,6.908859,1.463253,23401635
1964-02-01,6.908859,7.348630,6.806883,7.253027,1.536145,11900865
1964-03-01,7.253027,7.578075,7.087317,7.574888,1.604684,12340185
1964-04-01,7.584449,7.667304,7.268961,7.268961,1.539876,13446330
1964-05-01,7.278521,7.871256,7.278521,7.648184,1.620211,11055174
1964-06-01,7.648184,7.703952,7.345443,7.600382,1.610493,9049992
1964-07-01,7.628266,7.839388,7.329509,7.361377,1.559850,9734076
1964-08-01,7.361377,7.361377,6.779796,7.018802,1.487260,12112680
1964-09-01,7.018802,7.106437,6.564691,6.955067,1.474155,12382548
1964-10-01,6.955067,6.955067,6.612492,6.692161,1.418432,7970520
1964-11-01,6.688177,6.923199,6.572658,6.572658,1.393103,8886816
1964-12-01,6.556724,6.660293,6.485022,6.524857,1.383383,8792676
1965-01-01,6.524857,7.170172,6.437221,7.146272,1.515134,11842812
1965-02-01,7.130338,7.283700,6.771829,7.261791,1.539625,8334528
1965-03-01,7.261791,7.480880,7.138305,7.237890,1.535074,7568856
1965-04-01,7.249841,7.727852,7.249841,7.727852,1.638989,6721596
1965-05-01,7.711918,7.831421,7.329509,7.616316,1.615334,5981028
1965-06-01,7.584449,7.608349,6.971001,7.297642,1.548228,15175368
1965-07-01,7.297642,7.632250,7.249841,7.632250,1.619217,8303148
1965-08-01,7.632250,8.028601,7.556565,7.950924,1.686825,9809388
1965-09-01,7.950924,8.241714,7.934990,8.166029,1.733005,7619064
1965-10-01,8.138145,8.492670,8.018642,8.492670,1.802328,7405680
1965-11-01,8.492670,8.827279,8.317400,8.365201,1.775275,4788588
1965-12-01,8.365201,8.409018,7.875239,7.950924,1.687831,13537332
1966-01-01,7.927024,8.181963,7.520714,7.903123,1.677683,13254912
1966-02-01,7.903123,8.361217,7.775653,8.205864,1.741950,8403564
1966-03-01,8.205864,8.365201,7.879222,8.221797,1.745853,9583452
1966-04-01,8.221797,8.954748,8.189930,8.883047,1.886268,7675548
1966-05-01,8.883047,8.938815,8.221797,8.669933,1.841013,10993460
1966-06-01,8.520554,8.759560,7.946941,8.377151,1.779374,14392960
1966-07-01,8.418977,8.640057,8.144120,8.144120,1.729877,6309472
1966-08-01,8.144120,8.383126,7.319551,7.660134,1.627073,10916056
1966-09-01,7.660134,8.090344,7.325526,7.588432,1.612361,10506024
1966-10-01,7.588432,8.003705,6.919216,7.934990,1.685995,12070840
1966-11-01,7.991754,9.010516,7.991754,8.986616,1.909442,10539496
1966-12-01,8.986616,9.225621,8.675908,8.879063,1.887192,7296896
1967-01-01,8.879063,9.703633,8.663958,9.548279,2.029429,11129440
1967-02-01,9.416826,10.402725,9.333174,10.277247,2.184368,7070960
1967-03-01,10.336998,11.018164,10.325048,10.779159,2.291678,7376392
1967-04-01,10.695507,11.926386,10.444551,11.866635,2.522877,8606488
1967-05-01,11.591778,11.591778,10.946463,11.143642,2.369167,8506072
1967-06-01,11.143642,12.213193,11.077916,11.890535,2.528518,10062520
1967-07-01,11.890535,12.177342,11.663480,12.135516,2.580612,6535408
1967-08-01,12.135516,12.296845,11.597753,11.944312,2.539955,5895256
1967-09-01,11.944312,13.324570,11.914436,13.103489,2.787056,7384760
1967-10-01,13.097514,14.352294,12.930210,14.184990,3.017084,6974728
1967-11-01,14.077438,14.830306,13.563576,14.627151,3.111132,9920264
1967-12-01,14.627151,15.487572,14.579350,14.985660,3.193415,6807368
1968-01-01,14.985660,14.991635,14.071463,14.208891,3.027888,10861664
1968-02-01,14.208891,14.388145,13.587476,13.862333,2.954037,11108520
1968-03-01,13.862333,14.651052,13.384321,14.639101,3.126383,12464136
1968-04-01,14.949809,16.192638,14.937859,16.192638,3.458161,11627336
1968-05-01,16.228489,17.065010,15.415870,17.065010,3.644470,12288408
1968-06-01,17.638622,17.925430,16.491396,16.909657,3.618047,11144084
1968-07-01,16.909657,17.447418,15.583174,16.192638,3.464632,9826124
1968-08-01,16.192638,16.563099,15.774379,16.013384,3.426283,7715296
1968-09-01,16.013384,16.324093,15.774379,16.013384,3.432887,6497752
1968-10-01,15.798279,15.917782,14.555449,14.674952,3.145958,18453532
1968-11-01,14.722753,16.001434,14.698853,15.953633,3.420074,11388848
1968-12-01,15.953633,16.001434,14.818356,15.057361,3.227936,8914012
1969-01-01,15.057361,15.069312,14.101338,14.161090,3.035796,15895016
1969-02-01,14.161090,14.842256,14.017686,14.023662,3.006335,9951644
1969-03-01,14.023662,15.081262,13.945985,15.009560,3.226388,7957968
1969-04-01,15.009560,15.786329,14.591300,15.678776,3.370238,8087672
1969-05-01,15.678776,16.007408,15.212715,15.248566,3.277760,7583500
1969-06-01,15.248566,16.228489,14.710803,16.144836,3.478971,10413976
1969-07-01,16.144836,17.423517,14.818356,15.511472,3.342489,18104168
1969-08-01,15.583174,16.766253,15.559273,16.491396,3.553651,12271672
1969-09-01,16.491396,17.220364,15.822180,16.503345,3.567219,10836560
1969-10-01,16.503345,17.447418,16.252390,17.232313,3.724784,12771660
1969-11-01,17.208412,17.626673,16.455545,17.065010,3.688621,8723640
1969-12-01,17.136711,17.543020,16.742352,17.423517,3.776590,12098036
1970-01-01,17.423517,18.499044,15.977533,16.022346,3.472881,15855268
1970-02-01,16.108988,16.969406,16.001434,16.264339,3.525335,12867892
1970-03-01,16.264339,16.300192,15.069312,16.180689,3.507200,16723448
1970-04-01,16.180689,16.276291,13.683078,14.244742,3.087582,19568568
1970-05-01,14.244742,14.292543,11.328872,13.288719,2.880362,31055740
1970-06-01,13.288719,13.718929,11.950287,11.950287,2.600726,22302812
1970-07-01,11.950287,12.547801,11.567878,12.057839,2.624131,19020464
1970-08-01,12.039914,12.978011,10.456501,12.727055,2.782948,23237936
1970-09-01,12.679254,14.125239,12.392447,13.945985,3.049482,17926348
1970-10-01,13.945985,14.806405,13.527725,14.053537,3.073001,13786280
1970-11-01,14.053537,14.770554,13.790631,14.686902,3.224457,14641908
1970-12-01,14.686902,15.332218,14.639101,15.188815,3.334650,16589560
1971-01-01,15.141013,15.666826,14.818356,15.559273,3.415984,14545676
1971-02-01,15.559273,16.419695,15.535373,16.085087,3.531424,11677544
1971-03-01,16.085087,17.483271,16.001434,17.088909,3.766625,12838604
1971-04-01,17.088909,17.399618,16.682600,17.100861,3.769260,17342680
1971-05-01,16.969406,16.993307,15.535373,15.630975,3.445276,13449468
1971-06-01,15.654876,15.846080,14.722753,15.152964,3.352306,22139636
1971-07-01,15.152964,15.260516,13.874283,13.922084,3.079997,23455504
1971-08-01,13.993786,15.296367,13.539675,14.531549,3.214829,17817564
1971-09-01,14.531549,14.961759,14.292543,14.519598,3.226803,13413904
1971-10-01,14.543499,15.069312,14.125239,14.364245,3.192276,15453604
1971-11-01,14.340344,14.651052,13.778681,14.603250,3.245393,13968284
1971-12-01,14.651052,16.658701,14.651052,16.085087,3.590258,18238056
1972-01-01,16.085087,17.782026,15.858031,17.590822,3.926344,19874000
1972-02-01,17.590822,17.925430,17.423517,17.614723,3.931679,10462092
1972-03-01,17.662523,18.451242,17.495220,18.271990,4.093179,14187944
1972-04-01,18.271990,19.108509,18.128586,18.451242,4.133335,11823984
1972-05-01,18.451242,19.407267,18.009083,19.012905,4.259155,13922260
1972-06-01,19.072659,19.168261,18.499044,18.738050,4.212589,9761272
1972-07-01,18.785851,19.383366,18.331739,19.156309,4.306618,11920216
1972-08-01,19.216061,20.399139,19.216061,19.526770,4.389904,15531008
1972-09-01,19.526770,19.586519,18.797800,19.431166,4.382876,9782192
1972-10-01,19.431166,19.496893,17.280115,18.427341,4.156457,20899080
1972-11-01,18.451242,18.857553,17.734226,18.690248,4.215757,13585448
1972-12-01,18.690248,19.359465,18.403442,19.216061,4.349769,12892996
1973-01-01,19.335564,21.438814,19.335564,20.817400,4.712249,19771492
1973-02-01,20.817400,21.821224,20.004780,20.626196,4.668969,15085412
1973-03-01,20.626196,21.498566,20.052582,20.626196,4.683948,15687908
1973-04-01,20.626196,20.853251,19.180210,19.502869,4.428858,14072884
1973-05-01,19.670172,20.327438,18.236137,18.806765,4.270780,19967721
1973-06-01,18.761950,19.927103,18.283939,18.941204,4.315560,13777075
