Date,Open,High,Low,Close,Adj Close,Volume
1986-04-01,0.061728,0.089120,0.060185,0.077160,0.062991,395247600
1986-05-01,0.077160,0.083333,0.071759,0.072531,0.059212,199195200
1986-06-01,0.072531,0.080247,0.064815,0.075231,0.061416,308221200
1986-07-01,0.075231,0.076389,0.047840,0.047840,0.039055,448513200
1986-08-01,0.047840,0.052469,0.041667,0.050926,0.041574,357080400
1986-09-01,0.050926,0.053241,0.040123,0.043981,0.035904,414752400
1986-10-01,0.043981,0.059414,0.042438,0.055556,0.045354,603158400
1986-11-01,0.054784,0.067901,0.054012,0.066358,0.054172,551545200
1986-12-01,0.066358,0.066358,0.057870,0.064043,0.052282,354650400
1987-01-01,0.064043,0.092593,0.062500,0.083333,0.068030,1310158800
1987-02-01,0.083333,0.119599,0.082562,0.118827,0.097006,1006959600
1987-03-01,0.118827,0.143519,0.115741,0.135802,0.110864,548596800
1987-04-01,0.135802,0.172840,0.125000,0.145062,0.118423,849722400
1987-05-01,0.145062,0.182099,0.137346,0.168210,0.137321,509765400
1987-06-01,0.168210,0.169753,0.126543,0.137346,0.112124,653491800
1987-07-01,0.137346,0.148148,0.123457,0.140432,0.114644,614660400
1987-08-01,0.140432,0.165123,0.137346,0.165123,0.134800,519598800
1987-09-01,0.165123,0.211420,0.143519,0.200617,0.163776,650057400
1987-10-01,0.200617,0.234568,0.094136,0.154321,0.125982,1512318600
1987-11-01,0.154321,0.158951,0.120370,0.134259,0.109604,614887200
1987-12-01,0.134259,0.197531,0.118827,0.179012,0.146139,647643600
1988-01-01,0.179012,0.206790,0.140432,0.172840,0.141100,734840100
1988-02-01,0.172840,0.200617,0.148148,0.186728,0.152438,508931100
1988-03-01,0.186728,0.219136,0.182099,0.200617,0.163776,865420200
1988-04-01,0.200617,0.209877,0.182099,0.206790,0.168816,437788800
1988-05-01,0.206790,0.222222,0.188272,0.206790,0.168816,463279500
1988-06-01,0.206790,0.256173,0.206790,0.243827,0.199052,831805200
1988-07-01,0.243827,0.274691,0.222222,0.234568,0.191493,740032200
1988-08-01,0.234568,0.250000,0.206790,0.228395,0.186453,570264300
1988-09-01,0.228395,0.253086,0.219136,0.248457,0.202831,483359400
1988-10-01,0.248457,0.250000,0.179012,0.194444,0.158737,1300438800
1988-11-01,0.194444,0.222222,0.185185,0.212963,0.173855,715545900
1988-12-01,0.212963,0.243827,0.209877,0.240741,0.196532,1106735400
1989-01-01,0.240741,0.302469,0.231481,0.291667,0.238106,1255419000
1989-02-01,0.291667,0.308642,0.271605,0.277778,0.226768,794383200
1989-03-01,0.277778,0.314815,0.265432,0.297840,0.243146,1134396900
1989-04-01,0.297840,0.361111,0.287037,0.358025,0.292279,974810700
1989-05-01,0.354938,0.379630,0.324074,0.376543,0.307396,876978900
1989-06-01,0.376543,0.413580,0.364198,0.367284,0.299837,864942300
1989-07-01,0.373457,0.425926,0.373457,0.379630,0.309916,651171150
1989-08-01,0.379630,0.469136,0.364198,0.462963,0.377946,868720950
1989-09-01,0.462963,0.595679,0.447531,0.583333,0.476212,801077850
1989-10-01,0.583333,0.641975,0.518519,0.574074,0.468653,912521700
1989-11-01,0.574074,0.620370,0.530864,0.592593,0.483771,506537550
1989-12-01,0.592593,0.617284,0.503086,0.577160,0.471173,687653550
1990-01-01,0.577160,0.601852,0.441358,0.530864,0.433378,1409707800
1990-02-01,0.530864,0.595679,0.478395,0.552469,0.451016,804735000
1990-03-01,0.552469,0.700617,0.425926,0.466049,0.380466,2355856650
1990-04-01,0.466049,0.484568,0.376543,0.391975,0.319994,1416260700
1990-05-01,0.391975,0.500000,0.358025,0.487654,0.398103,1616549400
1990-06-01,0.487654,0.592593,0.487654,0.570988,0.466134,1252057500
1990-07-01,0.570988,0.583333,0.410494,0.416667,0.340152,1457781300
1990-08-01,0.416667,0.429012,0.259259,0.287037,0.234327,1320761700
1990-09-01,0.287037,0.299383,0.126543,0.160494,0.131022,2038806450
1990-10-01,0.160494,0.169753,0.120370,0.132716,0.108345,934752150
1990-11-01,0.132716,0.197531,0.126543,0.194444,0.158737,1035382500
1990-12-01,0.194444,0.209877,0.175926,0.194444,0.158737,907252650
1991-01-01,0.194444,0.240741,0.135802,0.222222,0.181414,2137776300
1991-02-01,0.222222,0.274691,0.203704,0.222222,0.181414,1468663650
1991-03-01,0.219136,0.243827,0.197531,0.222222,0.181414,1197350100
1991-04-01,0.222222,0.283951,0.219136,0.228395,0.186453,1230766650
1991-05-01,0.228395,0.246914,0.172840,0.185185,0.151178,750303000
1991-06-01,0.185185,0.246914,0.182099,0.209877,0.171336,841500900
1991-07-01,0.209877,0.234568,0.194444,0.225309,0.183934,798093000
1991-08-01,0.225309,0.283951,0.219136,0.277778,0.226768,916786350
1991-09-01,0.277778,0.348765,0.253086,0.330247,0.269602,1275920100
1991-10-01,0.330247,0.398148,0.327160,0.388889,0.317475,1395395100
1991-11-01,0.388889,0.410494,0.327160,0.333333,0.272121,848288700
1991-12-01,0.333333,0.373457,0.296296,0.358025,0.292279,933678900
1992-01-01,0.358025,0.487654,0.345679,0.456790,0.372907,1883501100
1992-02-01,0.456790,0.521605,0.453704,0.493827,0.403143,799465950
1992-03-01,0.490741,0.503086,0.327160,0.333333,0.272121,1704766500
1992-04-01,0.330247,0.358025,0.296296,0.342593,0.279681,979755750
1992-05-01,0.342593,0.404321,0.339506,0.367284,0.299837,610249950
1992-06-01,0.364198,0.429012,0.345679,0.376543,0.307396,828986400
