Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.958333,1.104167,0.953125,1.093750,0.328571,49488000
1985-02-01,1.093750,1.161458,1.041667,1.083333,0.331377,39096000
1985-03-01,1.093750,1.114583,1.031250,1.098958,0.336156,37610400
1985-04-01,1.098958,1.161458,1.062500,1.072917,0.328191,49761600
1985-05-01,1.072917,1.114583,1.041667,1.072917,0.328191,33753600
1985-06-01,1.067708,1.161458,1.062500,1.135417,0.353548,28339200
1985-07-01,1.135417,1.192708,1.125000,1.177083,0.366522,61332000
1985-08-01,1.177083,1.197917,1.041667,1.041667,0.324356,25670400
1985-09-01,1.046875,1.078125,0.979167,1.005208,0.317980,35592000
1985-10-01,1.000000,1.062500,0.932292,1.041667,0.329513,37425600
1985-11-01,1.010417,1.182292,0.994792,1.156250,0.365760,26121600
1985-12-01,1.156250,1.312500,1.140625,1.302083,0.419679,38299200
1986-01-01,1.286458,1.354167,1.166667,1.276042,0.411286,43725600
1986-02-01,1.265625,1.411458,1.223958,1.354167,0.436467,50464800
1986-03-01,1.375000,1.583333,1.354167,1.536458,0.502607,62524800
1986-04-01,1.541667,1.609375,1.375000,1.567708,0.512829,64245600
1986-05-01,1.557292,1.625000,1.421875,1.572917,0.514533,21907200
1986-06-01,1.583333,1.593750,1.489583,1.567708,0.519298,31123200
1986-07-01,1.687500,1.687500,1.541667,1.598958,0.529650,54672000
1986-08-01,1.598958,1.677083,1.541667,1.645833,0.545177,44320800
1986-09-01,1.666667,1.723958,1.421875,1.520833,0.509768,40212000
1986-10-01,1.515625,1.546875,1.406250,1.526042,0.511514,46202400
1986-11-01,1.520833,1.645833,1.463542,1.619792,0.542939,22317600
1986-12-01,1.609375,1.682292,1.500000,1.515625,0.514342,35169600
1987-01-01,1.526042,1.781250,1.526042,1.739583,0.590344,39148800
1987-02-01,1.687500,1.770833,1.645833,1.687500,0.572669,29616000
1987-03-01,1.729167,1.760417,1.593750,1.645833,0.564615,25435200
1987-04-01,1.635417,1.708333,1.395833,1.562500,0.536027,31994400
1987-05-01,1.562500,1.697917,1.541667,1.661458,0.569975,31581600
1987-06-01,1.671875,1.875000,1.661458,1.770833,0.614926,23541600
1987-07-01,1.776042,1.812500,1.697917,1.755208,0.609500,23037600
1987-08-01,1.677083,2.000000,1.677083,1.895833,0.658333,34668000
1987-09-01,1.916667,1.958333,1.812500,1.942708,0.681894,41222400
1987-10-01,1.942708,1.979167,1.322917,1.500000,0.526503,29630400
1987-11-01,1.479167,1.593750,1.416667,1.489583,0.522847,28106400
1987-12-01,1.500000,1.656250,1.406250,1.541667,0.547978,22473600
1988-01-01,1.562500,1.791667,1.531250,1.739583,0.618326,35918400
1988-02-01,1.718750,1.885417,1.708333,1.854167,0.659055,46730400
1988-03-01,1.864583,1.875000,1.718750,1.760417,0.632550,31879200
1988-04-01,1.750000,1.817708,1.708333,1.734375,0.623192,25934400
1988-05-01,1.713542,1.770833,1.692708,1.760417,0.632550,25478400
1988-06-01,1.760417,1.994792,1.760417,1.979167,0.719796,47306400
1988-07-01,1.976563,2.062500,1.906250,2.015625,0.733055,23769600
1988-08-01,1.992188,2.203125,1.984375,2.117188,0.769992,44755200
1988-09-01,2.109375,2.203125,2.039063,2.109375,0.775131,32324800
1988-10-01,2.125000,2.164063,1.976563,2.007813,0.737810,40699200
1988-11-01,2.000000,2.078125,1.960938,2.023438,0.751286,28792000
1988-12-01,2.023438,2.078125,1.960938,2.007813,0.745484,36088000
1989-01-01,2.007813,2.265625,1.992188,2.250000,0.835407,32851200
1989-02-01,2.265625,2.273438,2.171875,2.210938,0.829580,28980800
1989-03-01,2.218750,2.343750,2.187500,2.296875,0.861825,52531200
1989-04-01,2.296875,2.398438,2.242188,2.375000,0.891138,19443200
1989-05-01,2.343750,2.484375,2.257813,2.421875,0.908726,38396800
1989-06-01,2.437500,2.851563,2.429688,2.632813,0.997588,35731200
1989-07-01,2.625000,2.765625,2.609375,2.656250,1.006467,28192800
1989-08-01,2.671875,2.906250,2.609375,2.781250,1.063142,30849600
1989-09-01,2.750000,2.906250,2.703125,2.875000,1.098978,18259200
1989-10-01,2.859375,3.015625,2.656250,2.718750,1.039251,22582400
1989-11-01,2.734375,2.750000,2.578125,2.703125,1.042996,17626400
1989-12-01,2.734375,2.937500,2.359375,2.812500,1.085199,26458400
1990-01-01,2.812500,2.828125,2.437500,2.593750,1.000795,22431200
1990-02-01,2.562500,2.578125,2.265625,2.437500,0.949833,19543200
1990-03-01,2.421875,2.578125,2.343750,2.468750,0.962011,30501600
1990-04-01,2.406250,2.453125,2.203125,2.250000,0.876769,42782400
1990-05-01,2.250000,2.859375,2.234375,2.796875,1.102517,34070400
1990-06-01,2.843750,2.953125,2.531250,2.718750,1.071720,29816800
1990-07-01,2.718750,2.781250,2.406250,2.484375,0.979330,35980000
1990-08-01,2.468750,2.468750,2.125000,2.218750,0.874622,38740800
1990-09-01,2.218750,2.265625,1.765625,1.859375,0.741061,22886400
1990-10-01,1.875000,2.046875,1.687500,1.890625,0.753515,31348000
1990-11-01,1.906250,2.375000,1.906250,2.296875,0.915428,38909600
1990-12-01,2.296875,2.750000,2.250000,2.593750,1.048251,30214400
1991-01-01,2.593750,2.875000,2.343750,2.781250,1.124029,36936000
1991-02-01,2.796875,3.234375,2.703125,3.140625,1.282833,75697600
1991-03-01,3.125000,3.312500,3.000000,3.218750,1.314744,43543200
1991-04-01,3.203125,3.843750,3.109375,3.296875,1.346655,56898400
1991-05-01,3.390625,3.703125,3.375000,3.625000,1.480682,44327200
